call_id,dialog_idx,speaker_type,speaker_group,duration,audioPath,load_ok,sr,f0_mean,f0_std,f0_voiced_frame_ratio,e_mean_amp,e_std_amp,e_mean_db,e_std_db,s_top_db20,s_top_db30
J17_S000415,31,고객1,고객,3.705,D04/J17/S000415/0032.wav,True,8000,259.06568846566205,81.04832871275308,0.553133514986376,0.12352631986141205,0.09212243556976318,-23.08298110961914,30.178306579589844,0.30904183535762486,0.25721997300944677
J16_S004407,57,고객1,고객,12.227,D04/J16/S004407/0058.wav,True,8000,218.63646792482214,37.14565482086392,0.5726004922067268,0.136201873421669,0.08688845485448837,-13.70069408416748,19.900821685791016,0.16774351844279056,0.10493170851394451
J17_S000537,18,고객1,고객,3.421,D04/J17/S000537/0019.wav,True,8000,179.22978400482825,37.784911014874275,0.5191740412979351,0.022127686068415642,0.016146507114171982,-23.608293533325195,29.20090103149414,0.2703887752119263,0.2516807950891552
J16_S001710,0,고객1,고객,3.865,D04/J16/S001710/0001.wav,True,8000,165.1981426493022,80.01252012290466,0.4255874673629243,0.12480456382036209,0.09837423264980316,-23.594865798950195,29.77553367614746,0.2879689521345409,0.2879689521345409
J18_S012235,20,고객1,고객,2.405,D04/J18/S012235/0021.wav,True,8000,220.97523030989197,14.181230996506265,0.3881856540084388,0.05927543342113495,0.05762245133519173,-30.875686645507812,34.4932746887207,0.4145530145530145,0.3879417879417879
J17_S004962,1,고객1,고객,6.163,D04/J17/S004962/0002.wav,True,8000,149.01186908290936,116.38939411001128,0.5872756933115824,0.099932461977005,0.0748748928308487,-20.7269344329834,24.29763412475586,0.21077397371410034,0.1796203147817621
J19_S023484,0,고객1,고객,3.494,D04/J19/S023484/0001.wav,True,8000,122.79629380233388,19.024381052808206,0.5057803468208093,0.10514432936906815,0.07968506962060928,-25.389190673828125,30.804527282714844,0.24899828277046365,0.24899828277046365
J18_S017386,2,고객1,고객,9.576,D04/J18/S017386/0003.wav,True,8000,249.96186358143893,72.97857480602083,0.7819706498951782,0.1636609435081482,0.07559946924448013,-11.631681442260742,20.601787567138672,0.09106098579782784,0.0843776106934001
J19_S001397,2,고객1,고객,4.392,D04/J19/S001397/0003.wav,True,8000,134.00694443801544,44.72897796858149,0.4954128440366973,0.05876860395073891,0.05967376008629799,-26.69881248474121,27.115633010864258,0.37340619307832434,0.2714025500910747
J18_S020447,0,고객1,고객,7.8,D04/J18/S020447/0001.wav,True,8000,161.26405031930676,73.76854352296095,0.6203346203346203,0.1300973892211914,0.07868018746376038,-15.285487174987793,21.578584671020508,0.16307692307692312,0.11384615384615382
J17_S000301,13,고객1,고객,8.141,D04/J17/S000301/0014.wav,True,8000,213.28748721910262,58.15649389443424,0.6374845869297164,0.14564871788024902,0.08047423511743546,-15.297682762145996,22.970718383789062,0.13524137083896326,0.11951848667239895
J19_S017382,0,고객1,고객,12.243,D04/J19/S017382/0001.wav,True,8000,208.90138844856565,63.3155387276891,0.7248157248157249,0.1803063601255417,0.09261946380138397,-11.764126777648926,20.298728942871094,0.13746630727762799,0.09564649187290708
J18_S021872,34,고객1,고객,4.957,D04/J18/S021872/0035.wav,True,8000,150.45626827421847,46.28788826864886,0.6402439024390244,0.09557903558015823,0.06531340628862381,-19.229511260986328,26.534122467041016,0.17369376639096223,0.160782731490821
J17_S001808,1,고객1,고객,7.699,D04/J17/S001808/0002.wav,True,8000,127.19200557140888,42.671609936470894,0.6161879895561357,0.23415885865688324,0.13058309257030487,-14.65892219543457,22.467315673828125,0.13547213923886225,0.1188466034549942
J16_S006657,23,고객1,고객,1.763,D04/J16/S006657/0024.wav,True,8000,263.2620413089536,58.17912053958393,0.3699421965317919,0.11698133498430252,0.11749111860990524,-38.331871032714844,38.098052978515625,0.4554736245036869,0.4554736245036869
J18_S016363,15,고객1,고객,2.323,D04/J18/S016363/0016.wav,True,8000,224.9837693860581,49.339400002761856,0.37554585152838427,0.03524860367178917,0.03514719009399414,-33.095420837402344,33.9925537109375,0.39388721480843736,0.39388721480843736
J18_S004828,4,고객1,고객,2.776,D04/J18/S004828/0005.wav,True,8000,237.49129685305405,54.045063119422345,0.5291970802919708,0.024768399074673653,0.024306239560246468,-29.096555709838867,31.083887100219727,0.3314121037463976,0.30835734870317
J19_S015638,1,고객1,고객,5.76,D04/J19/S015638/0002.wav,True,8000,125.433800368873,57.64161528506918,0.49040139616055844,0.07523956894874573,0.06709260493516922,-23.065427780151367,24.499841690063477,0.28888888888888886,0.23333333333333328
J19_S016841,2,고객1,고객,4.665,D04/J19/S016841/0007.wav,True,8000,168.2063371967686,52.47328016994356,0.5356371490280778,0.12086714059114456,0.0966399759054184,-21.872739791870117,26.633167266845703,0.30032154340836015,0.2042872454448017
J17_S001282,84,고객1,고객,4.088,D04/J17/S001282/0085.wav,True,8000,260.82558774510966,78.90230982406493,0.4740740740740741,0.08005525171756744,0.06538233906030655,-23.200664520263672,28.263755798339844,0.2954990215264188,0.24853228962818008
J18_S022487,16,고객1,고객,5.896,D04/J18/S022487/0017.wav,True,8000,223.9162557765711,53.56143343702701,0.5972696245733788,0.04560253024101257,0.02762201428413391,-16.62821388244629,25.4561824798584,0.15332428765264583,0.1424694708276798
J18_S017014,8,고객1,고객,5.496,D04/J18/S017014/0009.wav,True,8000,142.57029793971304,68.37483663696055,0.39194139194139194,0.04935561865568161,0.04500886797904968,-21.966585159301758,24.947660446166992,0.26637554585152845,0.18486171761280934
J19_S023239,2,고객1,고객,4.957,D04/J19/S023239/0003.wav,True,8000,234.9281756353248,65.49422661737223,0.6991869918699187,0.13773103058338165,0.0849090963602066,-17.011171340942383,27.429079055786133,0.160782731490821,0.160782731490821
J19_S036176,15,고객1,고객,6.317,D04/J19/S036176/0016.wav,True,8000,211.6486188214602,62.64796052972726,0.6130573248407644,0.12186349183320999,0.07751946151256561,-17.35158920288086,25.496992111206055,0.20975146430267533,0.19962007281937633
J19_S025016,15,고객1,고객,2.316,D04/J19/S025016/0016.wav,True,8000,231.29446876458692,13.047170369250813,0.4649122807017544,0.12493254989385605,0.11928100883960724,-33.7788200378418,35.3726692199707,0.4196891191709844,0.4196891191709844
J17_S000744,9,상담사1,상담사,4.831,D04/J17/S000744/0010.wav,True,8000,244.7863184598757,56.79990343350092,0.6229166666666667,0.049815792590379715,0.03138401359319687,-18.97705841064453,28.24843978881836,0.19188573794245511,0.19188573794245511
J19_S001718,14,상담사1,상담사,3.581,D04/J19/S001718/0015.wav,True,8000,116.71828511204413,18.53305090034297,0.4112676056338028,0.023948071524500847,0.024337071925401688,-27.08828353881836,28.12295913696289,0.33873219771013685,0.2851158894163641
J19_S013064,21,상담사1,상담사,5.6,D04/J19/S013064/0022.wav,True,8000,216.68484676260076,41.72033209082688,0.5350089766606823,0.04788193851709366,0.049690473824739456,-25.400306701660156,24.35964012145996,0.3142857142857143,0.2114285714285713
J16_S004679,13,상담사1,상담사,3.125,D04/J16/S004679/0014.wav,True,8000,217.7123335116574,19.732385364891517,0.6019417475728155,0.08674072474241257,0.061775993555784225,-23.425424575805664,32.08711624145508,0.2831999999999999,0.26272000000000006
J19_S022763,1,상담사1,상담사,2.835,D04/J19/S022763/0002.wav,True,8000,127.94974508471532,37.875867747744515,0.4642857142857143,0.022327277809381485,0.02436698041856289,-30.801244735717773,30.573057174682617,0.3904761904761904,0.3227513227513228
J16_S005596,3,상담사1,상담사,10.117,D04/J16/S005596/0004.wav,True,8000,239.96122068357852,68.31024697738833,0.6398809523809523,0.055072735995054245,0.0310459453612566,-14.280089378356934,20.97566795349121,0.12701393693782748,0.11436196500939011
J18_S015305,20,상담사1,상담사,5.571,D04/J18/S015305/0021.wav,True,8000,251.23202317001525,52.833934545748725,0.572202166064982,0.05543825775384903,0.03823577240109444,-20.380008697509766,26.274953842163086,0.21881170346436896,0.20732364028002148
J18_S019727,6,상담사1,상담사,3.42,D04/J18/S019727/0007.wav,True,8000,201.92136607627205,51.408053904693304,0.5191740412979351,0.0316486731171608,0.025769537314772606,-24.426807403564453,30.003522872924805,0.30760233918128654,0.23274853801169582
J19_S017286,3,상담사1,상담사,10.91,D04/J19/S017286/0005.wav,True,8000,230.97023032025945,61.601986341096044,0.5634191176470589,0.0369904488325119,0.021161315962672234,-14.266974449157715,19.572010040283203,0.16113657195233744,0.10247479376718605
J19_S002208,4,상담사1,상담사,9.758,D04/J19/S002208/0005.wav,True,8000,219.34428963834299,54.385914934155785,0.5576131687242798,0.11586282402276993,0.06371115148067474,-13.807135581970215,21.91002655029297,0.15392498462799742,0.12769010043041595
J18_S009884,42,상담사1,상담사,2.424,D04/J18/S009884/0043.wav,True,8000,183.47980672243722,47.924501970262426,0.3682008368200837,0.03816542029380798,0.03683934360742569,-30.100112915039062,33.472904205322266,0.36633663366336633,0.33993399339933983
J19_S003207,0,상담사1,상담사,3.581,D04/J19/S003207/0001.wav,True,8000,192.69500803002882,39.53679278009182,0.4676056338028169,0.021101513877511024,0.03020658902823925,-30.322336196899414,25.98069953918457,0.4459648142976822,0.2314995811225915
J19_S006576,16,상담사1,상담사,7.56,D04/J19/S006576/0017.wav,True,8000,275.93885624611204,82.81552906033929,0.6573705179282868,0.15590903162956238,0.07549101114273071,-12.126617431640625,23.591135025024414,0.12804232804232807,0.11957671957671956
J18_S001044,3,상담사1,상담사,4.883,D04/J18/S001044/0004.wav,True,8000,234.8641613858871,54.64743446229843,0.6989690721649484,0.056733451783657074,0.03367043659090996,-18.810928344726562,27.043262481689453,0.18738480442351013,0.17427810772066354
J19_S026688,8,상담사1,상담사,7.252,D04/J19/S026688/0009.wav,True,8000,226.5226800075595,52.5975416247826,0.6454293628808865,0.060747139155864716,0.03374626487493515,-14.683585166931152,23.14181137084961,0.14396028681742967,0.11748483177054603
J19_S012269,4,상담사1,상담사,1.609,D04/J19/S012269/0005.wav,True,8000,270.45951113824725,27.68428752029582,0.22929936305732485,0.02451353892683983,0.03918161988258362,-44.562557220458984,33.8636360168457,0.642013673088875,0.4829086389061529
J19_S030331,13,상담사1,상담사,4.7,D04/J19/S030331/0014.wav,True,8000,237.64602489115578,34.84824422220115,0.3854389721627409,0.0432160422205925,0.04003943130373955,-25.71224021911621,27.363054275512695,0.3327659574468085,0.2919148936170214
J17_S001448,104,상담사1,상담사,4.718,D04/J17/S001448/0105.wav,True,8000,127.72223709526286,25.375237179278926,0.6175213675213675,0.03796141594648361,0.023432359099388123,-18.193645477294922,26.923433303833008,0.17253073336159386,0.15896566341670204
J18_S009389,14,상담사1,상담사,5.896,D04/J18/S009389/0015.wav,True,8000,220.70604928082335,55.3802288222399,0.7133105802047781,0.12019914388656616,0.07616976648569107,-17.764862060546875,26.320228576660156,0.19674355495251017,0.175033921302578
J17_S004209,17,상담사1,상담사,2.344,D04/J17/S004209/0018.wav,True,8000,154.3115982335124,51.110797010090565,0.3722943722943723,0.023608719930052757,0.025889379903674126,-33.127174377441406,32.455684661865234,0.4539249146757679,0.4266211604095562
J18_S002972,21,상담사1,상담사,5.928,D04/J18/S002972/0022.wav,True,8000,234.92965136053257,39.8059394294272,0.48896434634974534,0.03637218847870827,0.04503221437335014,-27.02178955078125,22.411266326904297,0.417004048582996,0.21187584345479082
J19_S028875,1,상담사1,상담사,3.777,D04/J19/S028875/0002.wav,True,8000,180.00855043150705,52.873441411896145,0.5187165775401069,0.0757630318403244,0.07714226841926575,-27.002656936645508,28.41639518737793,0.28832406671961874,0.22054540640720155
