n,condition,accuracy,n_calls
1,A,0.0,9658
1,B,0.04100227790432802,9658
1,C,0.08272934354938911,9658
1,D,0.10136674259681093,9658
2,A,0.3191136881341893,9658
2,B,0.3306067508800994,9658
2,C,0.3318492441499275,9658
2,D,0.3428246013667426,9658
3,A,0.4214123006833713,9658
3,B,0.43300890453510044,9658
3,C,0.4614827086353282,9658
3,D,0.4787740733071029,9658
5,A,0.4806378132118451,9658
5,B,0.4887140194657279,9658
5,C,0.5969144750465935,9658
5,D,0.602091530337544,9658
