n,pair,cond_no_acoustic,cond_acoustic,class,is_negative_destination,precision_no_ac,precision_ac,delta_precision,recall_no_ac,recall_ac,delta_recall,f1_no_ac,f1_ac,delta_f1,support,low_support_flag,trigger_happy_flag
2,customer_only,A,B,서비스이용,False,0.19519519519519518,0.20060331825037708,0.0054081230551819015,0.3561643835616438,0.3643835616438356,0.008219178082191803,0.2521823472356935,0.2587548638132296,0.006572516577536103,1095,False,False
2,all,C,D,환불요청,True,0.7109634551495017,0.7018934390136504,-0.009070016135851233,0.3107883817427386,0.33070539419087136,0.019917012448132765,0.4325104662913238,0.449583979692568,0.017073513401244245,4820,False,True
2,all,C,D,주문취소,True,0.1292466765140325,0.13333333333333333,0.0040866568193008435,0.3458498023715415,0.3557312252964427,0.009881422924901184,0.1881720430107527,0.1939655172413793,0.005793474230626622,506,False,False
2,all,C,D,불만제기,True,0.0387409200968523,0.041970802919708027,0.0032298828228557244,0.03836930455635491,0.05515587529976019,0.016786570743405275,0.03855421686746988,0.04766839378238342,0.009114176914913535,417,False,False
2,all,C,D,배송확인,False,0.28969539857420606,0.3084507042253521,0.018755305651146026,0.47102212855637515,0.46153846153846156,-0.009483667017913588,0.35874799357945425,0.36977627691008863,0.01102828333063438,949,False,False
2,all,C,D,교환반품,False,0.5672853828306265,0.5693012600229095,0.002015877192283022,0.3698940998487141,0.37594553706505296,0.006051437216338884,0.4478021978021978,0.45284738041002276,0.0050451826078249384,1322,False,False
2,all,C,D,구매진행,False,0.14648117839607203,0.16586306653809066,0.019381888142018633,0.32604735883424407,0.3132969034608379,-0.012750455373406189,0.20214568040654998,0.21689785624211855,0.014752175835568565,549,False,False
2,all,C,D,서비스이용,False,0.18590635141400091,0.1885132005558129,0.0026068491418119732,0.36621004566210047,0.37168949771689497,0.005479452054794498,0.24661746617466174,0.2501536570374923,0.0035361908628305794,1095,False,False
3,customer_only,A,B,환불요청,True,0.7646321070234113,0.7570381797146163,-0.007593927308795045,0.37946058091286305,0.40726141078838174,0.027800829875518684,0.507210205213533,0.5296101443410225,0.0223999391274895,4820,False,True
3,customer_only,A,B,주문취소,True,0.14958283671036948,0.15773067331670823,0.008147836606338749,0.49604743083003955,0.5,0.0039525691699604515,0.22985347985347984,0.23981042654028437,0.009956946686804524,506,False,False
3,customer_only,A,B,불만제기,True,0.08712121212121213,0.07602339181286549,-0.011097820308346634,0.05515587529976019,0.06235011990407674,0.007194244604316551,0.06754772393538913,0.06851119894598155,0.0009634750105924211,417,False,True
3,customer_only,A,B,배송확인,False,0.37753807106598986,0.3828125,0.005274428934010145,0.6269757639620653,0.6195995785036881,-0.00737618545837726,0.47128712871287126,0.4732394366197183,0.0019523079068470284,949,False,False
3,customer_only,A,B,교환반품,False,0.577028258887876,0.5539000876424189,-0.023128171245457074,0.47881996974281393,0.47806354009077157,-0.0007564296520423675,0.5233567589913187,0.5131952902963866,-0.010161468694932174,1322,False,False
3,customer_only,A,B,구매진행,False,0.25990783410138246,0.27657378740970073,0.01666595330831827,0.5136612021857924,0.48816029143898,-0.025500910746812377,0.34516523867809057,0.3530961791831357,0.007930940505045114,549,False,False
3,customer_only,A,B,서비스이용,False,0.29182630906768836,0.30685675492192804,0.015030445854239682,0.41735159817351597,0.41278538812785387,-0.0045662100456621,0.34347989477639984,0.35202492211838005,0.008545027341980205,1095,False,False
3,all,C,D,환불요청,True,0.7687861271676301,0.7703071672354949,0.0015210400678647984,0.44149377593360994,0.4682572614107884,0.02676348547717844,0.5608856088560885,0.5824516129032258,0.021566004047137266,4820,False,False
3,all,C,D,주문취소,True,0.16427640156453716,0.16986301369863013,0.0055866121340929775,0.4980237154150198,0.4901185770750988,-0.007905138339920958,0.24705882352941178,0.25228891149542215,0.005230087966010377,506,False,False
3,all,C,D,불만제기,True,0.05511811023622047,0.07119741100323625,0.016079300767015775,0.03357314148681055,0.05275779376498801,0.019184652278177457,0.041728763040238454,0.06060606060606061,0.018877297565822154,417,False,False
3,all,C,D,배송확인,False,0.4060846560846561,0.42016238159675234,0.01407772551209624,0.6469968387776607,0.6543730242360379,0.00737618545837726,0.4989841527834214,0.511742892459827,0.012758739676405562,949,False,False
3,all,C,D,교환반품,False,0.6139613120269134,0.6116504854368932,-0.002310826590020243,0.5521936459909228,0.5718608169440242,0.019667170953101443,0.5814416567104739,0.5910867865519938,0.009645129841519884,1322,False,True
3,all,C,D,구매진행,False,0.25722543352601157,0.281615302869288,0.024389869343276416,0.48633879781420764,0.48269581056466304,-0.0036429872495445936,0.33648393194706994,0.35570469798657717,0.01922076603950723,549,False,False
3,all,C,D,서비스이용,False,0.33162142333088773,0.34892638036809814,0.01730495703721041,0.41278538812785387,0.4155251141552511,0.002739726027397249,0.3677786818551668,0.3793247186327636,0.011546036777596802,1095,False,False
