n,condition,class,precision,recall,f1,support,n_total,accuracy,macro_f1,delta_precision_vs_no_acoustic,delta_recall_vs_no_acoustic,delta_f1_vs_no_acoustic
2,A,환불요청,0.7075962539021852,0.2821576763485477,0.4034411153960249,4820,9658,0.3191136881341893,0.2700443147734505,,,
2,A,주문취소,0.1263089005235602,0.3814229249011858,0.18977384464110128,506,9658,0.3191136881341893,0.2700443147734505,,,
2,A,불만제기,0.052884615384615384,0.05275779376498801,0.05282112845138055,417,9658,0.3191136881341893,0.2700443147734505,,,
2,A,배송확인,0.27870813397129185,0.4910432033719705,0.35558946966806565,949,9658,0.3191136881341893,0.2700443147734505,,,
2,A,교환반품,0.530952380952381,0.3373676248108926,0.4125809435707678,1322,9658,0.3191136881341893,0.2700443147734505,,,
2,A,구매진행,0.15990639625585024,0.37340619307832423,0.2239213544511196,549,9658,0.3191136881341893,0.2700443147734505,,,
2,A,서비스이용,0.19519519519519518,0.3561643835616438,0.2521823472356935,1095,9658,0.3191136881341893,0.2700443147734505,,,
2,B,환불요청,0.7228177641653905,0.2937759336099585,0.417760731671338,4820,9658,0.3330917374197556,0.27996816278730824,0.015221510263205285,0.011618257261410803,0.014319616275313085
2,B,주문취소,0.12635983263598327,0.2984189723320158,0.17754262198706644,506,9658,0.3330917374197556,0.27996816278730824,5.093211242307438e-05,-0.08300395256916998,-0.01223122265403484
2,B,불만제기,0.08092485549132948,0.0671462829736211,0.07339449541284404,417,9658,0.3330917374197556,0.27996816278730824,0.028040240106714097,0.014388489208633094,0.020573366961463488
2,B,배송확인,0.3251968503937008,0.4351949420442571,0.3722397476340694,949,9658,0.3330917374197556,0.27996816278730824,0.04648871642240893,-0.05584826132771337,0.016650277966003768
2,B,교환반품,0.5897858319604613,0.2708018154311649,0.3711767755313634,1322,9658,0.3330917374197556,0.27996816278730824,0.05883345100808035,-0.06656580937972773,-0.04140416803940439
2,B,구매진행,0.17282958199356913,0.39162112932604737,0.23982152816508645,549,9658,0.3330917374197556,0.27996816278730824,0.01292318573771889,0.018214936247723135,0.015900173713966848
2,B,서비스이용,0.20941718801448797,0.5808219178082191,0.30784123910939015,1095,9658,0.3330917374197556,0.27996816278730824,0.01422199281929279,0.2246575342465753,0.05565889187369666
2,C,환불요청,0.7109634551495017,0.3107883817427386,0.4325104662913238,4820,9658,0.3318492441499275,0.27350715201891573,,,
2,C,주문취소,0.1292466765140325,0.3458498023715415,0.1881720430107527,506,9658,0.3318492441499275,0.27350715201891573,,,
2,C,불만제기,0.0387409200968523,0.03836930455635491,0.03855421686746988,417,9658,0.3318492441499275,0.27350715201891573,,,
2,C,배송확인,0.28969539857420606,0.47102212855637515,0.35874799357945425,949,9658,0.3318492441499275,0.27350715201891573,,,
2,C,교환반품,0.5672853828306265,0.3698940998487141,0.4478021978021978,1322,9658,0.3318492441499275,0.27350715201891573,,,
2,C,구매진행,0.14648117839607203,0.32604735883424407,0.20214568040654998,549,9658,0.3318492441499275,0.27350715201891573,,,
2,C,서비스이용,0.18590635141400091,0.36621004566210047,0.24661746617466174,1095,9658,0.3318492441499275,0.27350715201891573,,,
2,D,환불요청,0.7353077279037482,0.3296680497925311,0.4552356395931815,4820,9658,0.3460343756471319,0.2828901213022236,0.024344272754246554,0.01887966804979252,0.022725173301857693
2,D,주문취소,0.13043478260869565,0.27865612648221344,0.1776937618147448,506,9658,0.3460343756471319,0.2828901213022236,0.0011881060946631605,-0.06719367588932806,-0.010478281196007883
2,D,불만제기,0.07432432432432433,0.05275779376498801,0.061711079943899017,417,9658,0.3460343756471319,0.2828901213022236,0.035583404227472026,0.014388489208633094,0.023156863076429134
2,D,배송확인,0.3341483292583537,0.4320337197049526,0.37683823529411764,949,9658,0.3460343756471319,0.2828901213022236,0.04445293068414763,-0.038988408851422574,0.01809024171466339
2,D,교환반품,0.6351575456053068,0.2897125567322239,0.3979220779220779,1322,9658,0.3460343756471319,0.2828901213022236,0.06787216277468033,-0.08018154311649017,-0.04988011988011992
2,D,구매진행,0.16494845360824742,0.34972677595628415,0.22416812609457093,549,9658,0.3460343756471319,0.2828901213022236,0.018467275212175394,0.02367941712204008,0.022022445688020947
2,D,서비스이용,0.19353806781829813,0.5525114155251142,0.2866619284529732,1095,9658,0.3460343756471319,0.2828901213022236,0.007631716404297217,0.1863013698630137,0.04004446227831149
