table,n,condition,pair,class,metric,before,after,delta_before_to_after,trigger_happy_status
condition_level,2,A,,,accuracy,0.3191136881341893,0.3191136881341893,0.0,
condition_level,2,A,,,macro_f1,0.2700443147734505,0.2700443147734505,0.0,
condition_level,2,B,,,accuracy,0.3306067508800994,0.33029612756264237,-0.000310623317457015,
condition_level,2,B,,,macro_f1,0.27834219029668,0.27625903112971983,-0.002083159166960169,
condition_level,2,C,,,accuracy,0.3318492441499275,0.3318492441499275,0.0,
condition_level,2,C,,,macro_f1,0.27350715201891573,0.27350715201891573,0.0,
condition_level,2,D,,,accuracy,0.3428246013667426,0.3407537792503624,-0.002070822116380211,
condition_level,2,D,,,macro_f1,0.28298472304515043,0.27996076014550747,-0.0030239628996429624,
condition_level,3,A,,,accuracy,0.4214123006833713,0.4214123006833713,0.0,
condition_level,3,A,,,macro_f1,0.35541434716586895,0.35541434716586895,0.0,
condition_level,3,B,,,accuracy,0.43300890453510044,0.43559743218057567,0.002588527645475236,
condition_level,3,B,,,macro_f1,0.3613553711492727,0.36229201677352496,0.0009366456242522747,
condition_level,3,C,,,accuracy,0.4614827086353282,0.4614827086353282,0.0,
condition_level,3,C,,,macro_f1,0.3763373741031244,0.3763373741031244,0.0,
condition_level,3,D,,,accuracy,0.4787740733071029,0.47804928556636983,-0.0007247877407330905,
condition_level,3,D,,,macro_f1,0.39045795437655284,0.38746577266601123,-0.002992181710541608,
condition_level,5,A,,,accuracy,0.4806378132118451,0.4806378132118451,0.0,
condition_level,5,A,,,macro_f1,0.40018991149536276,0.40018991149536276,0.0,
condition_level,5,B,,,accuracy,0.4887140194657279,0.48954234831228,0.0008283288465520955,
condition_level,5,B,,,macro_f1,0.4078707821149962,0.4076326818280716,-0.00023810028692461405,
condition_level,5,C,,,accuracy,0.5969144750465935,0.5969144750465935,0.0,
condition_level,5,C,,,macro_f1,0.4827749086674475,0.4827749086674475,0.0,
condition_level,5,D,,,accuracy,0.602091530337544,0.5990888382687927,-0.003002692068751367,
condition_level,5,D,,,macro_f1,0.486690606757027,0.48443141552553765,-0.002259191231489377,
neg_destination_acoustic_delta,2,,customer_only,환불요청,delta_recall(acoustic),0.023858921161825752,0.026141078838174292,0.0022821576763485396,유지
neg_destination_acoustic_delta,2,,customer_only,환불요청,delta_precision(acoustic),-0.009206102387033677,-0.009615981473815038,-0.00040987908678136176,유지
neg_destination_acoustic_delta,2,,customer_only,주문취소,delta_recall(acoustic),0.005928853754940677,-0.011857707509881465,-0.017786561264822143,없음(유지)
neg_destination_acoustic_delta,2,,customer_only,주문취소,delta_precision(acoustic),0.0011293309458806355,-0.004086678301337979,-0.005216009247218614,없음(유지)
neg_destination_acoustic_delta,2,,customer_only,불만제기,delta_recall(acoustic),0.011990407673860913,0.004796163069544369,-0.007194244604316544,유지
neg_destination_acoustic_delta,2,,customer_only,불만제기,delta_precision(acoustic),-0.005349404117009751,-0.008604172580187343,-0.0032547684631775917,유지
neg_destination_acoustic_delta,2,,all,환불요청,delta_recall(acoustic),0.019917012448132765,0.019709543568464716,-0.00020746887966804906,유지
neg_destination_acoustic_delta,2,,all,환불요청,delta_precision(acoustic),-0.009070016135851233,-0.011972669717294493,-0.0029026535814432597,유지
