n,cond1,cond2,n_total,both_correct,only_cond1_correct,only_cond2_correct,both_wrong,accuracy_cond1,accuracy_cond2,accuracy_diff(cond2-cond1),ci95_lo,ci95_hi,mcnemar_stat,p_value,exact_test,significant(p<0.05)
1,A,B,9658,0,0,396,9262,0.0,0.04100227790432802,0.04100227790432802,0.037067715883205635,0.04483329881963139,0.0,1.2392294127517818e-119,True,True
2,C,D,9658,2902,303,409,6044,0.3318492441499275,0.3428246013667426,0.010975357216815085,0.005591219714226547,0.01646303582522257,15.484550561797754,8.318236751951733e-05,False,True
3,C,D,9658,4153,304,471,4730,0.4614827086353282,0.4787740733071029,0.017291364671774723,0.01170014495754812,0.023193207703458285,35.55612903225806,2.478061142446e-09,False,True
5,C,D,9658,5417,348,398,3495,0.5969144750465935,0.602091530337544,0.005177055290950583,-0.00041416442327602,0.010768275005177075,3.2184986595174263,0.07281038148400892,False,False
