n,pair,cond_no_acoustic,cond_acoustic,class,is_negative_destination,precision_no_ac,precision_ac,delta_precision,recall_no_ac,recall_ac,delta_recall,f1_no_ac,f1_ac,delta_f1,support,low_support_flag,trigger_happy_flag
2,customer_only,A,B,환불요청,True,0.7075962539021852,0.6979802724283701,-0.009615981473815038,0.2821576763485477,0.308298755186722,0.026141078838174292,0.4034411153960249,0.4276874370413009,0.024246321645276014,4820,False,True
2,customer_only,A,B,주문취소,True,0.1263089005235602,0.12222222222222222,-0.004086678301337979,0.3814229249011858,0.3695652173913043,-0.011857707509881465,0.18977384464110128,0.18369351669941061,-0.006080327941690666,506,False,False
2,customer_only,A,B,불만제기,True,0.052884615384615384,0.04428044280442804,-0.008604172580187343,0.05275779376498801,0.05755395683453238,0.004796163069544369,0.05282112845138055,0.05005213764337852,-0.0027689908080020323,417,False,True
2,customer_only,A,B,배송확인,False,0.27870813397129185,0.28608082103912763,0.007372687067835781,0.4910432033719705,0.46996838777660693,-0.02107481559536356,0.35558946966806565,0.35566188197767146,7.241230960580713e-05,949,False,False
2,customer_only,A,B,교환반품,False,0.530952380952381,0.5324519230769231,0.0014995421245421747,0.3373676248108926,0.3350983358547655,-0.0022692889561271024,0.4125809435707678,0.4113277623026927,-0.0012531812680751098,1322,False,False
2,customer_only,A,B,구매진행,False,0.15990639625585024,0.18056828597616864,0.020661889720318405,0.37340619307832423,0.3588342440801457,-0.014571948998178541,0.2239213544511196,0.24024390243902438,0.01632254798790478,549,False,False
2,customer_only,A,B,서비스이용,False,0.19519519519519518,0.20607594936708862,0.010880754171893436,0.3561643835616438,0.37168949771689497,0.015525114155251152,0.2521823472356935,0.26514657980456025,0.012964232568866751,1095,False,False
2,all,C,D,환불요청,True,0.7109634551495017,0.6989907854322072,-0.011972669717294493,0.3107883817427386,0.3304979253112033,0.019709543568464716,0.4325104662913238,0.4487956050147908,0.01628513872346704,4820,False,True
2,all,C,D,주문취소,True,0.1292466765140325,0.1261061946902655,-0.0031404818237669996,0.3458498023715415,0.33794466403162055,-0.007905138339920958,0.1881720430107527,0.1836734693877551,-0.004498573622997576,506,False,False
2,all,C,D,불만제기,True,0.0387409200968523,0.043478260869565216,0.004737340772712914,0.03836930455635491,0.05275779376498801,0.014388489208633094,0.03855421686746988,0.047670639219934995,0.009116422352465112,417,False,False
2,all,C,D,배송확인,False,0.28969539857420606,0.306826178747361,0.017130780173154947,0.47102212855637515,0.4594309799789252,-0.011591148577449972,0.35874799357945425,0.3679324894514768,0.009184495872022524,949,False,False
2,all,C,D,교환반품,False,0.5672853828306265,0.558589306029579,-0.008696076801047448,0.3698940998487141,0.3714069591527988,0.001512859304084735,0.4478021978021978,0.4461608359836438,-0.0016413618185540102,1322,False,True
2,all,C,D,구매진행,False,0.14648117839607203,0.16540642722117202,0.018925248825099994,0.32604735883424407,0.31876138433515483,-0.007285974499089243,0.20214568040654998,0.2177971375233354,0.015651457116785422,549,False,False
2,all,C,D,서비스이용,False,0.18590635141400091,0.18666049096804077,0.0007541395540398566,0.36621004566210047,0.3680365296803653,0.0018264840182648512,0.24661746617466174,0.24769514443761526,0.0010776782629535187,1095,False,False
3,customer_only,A,B,환불요청,True,0.7646321070234113,0.7521788556271315,-0.01245325139627984,0.37946058091286305,0.4118257261410788,0.032365145228215764,0.507210205213533,0.5322429280064351,0.02503272279290214,4820,False,True
3,customer_only,A,B,주문취소,True,0.14958283671036948,0.15418781725888325,0.004604980548513771,0.49604743083003955,0.48023715415019763,-0.015810276679841917,0.22985347985347984,0.2334293948126801,0.0035759149592002604,506,False,False
3,customer_only,A,B,불만제기,True,0.08712121212121213,0.07225433526011561,-0.014866876861096515,0.05515587529976019,0.05995203836930456,0.004796163069544369,0.06754772393538913,0.0655307994757536,-0.0020169244596355274,417,False,True
3,customer_only,A,B,배송확인,False,0.37753807106598986,0.3890717577353522,0.01153368666936233,0.6269757639620653,0.6227608008429927,-0.004214963119072657,0.47128712871287126,0.47893030794165314,0.007643179228781882,949,False,False
3,customer_only,A,B,교환반품,False,0.577028258887876,0.5578406169665809,-0.019187641921295073,0.47881996974281393,0.4924357034795764,0.013615733736762448,0.5233567589913187,0.5231016472478908,-0.0002551117434279604,1322,False,True
3,customer_only,A,B,구매진행,False,0.25990783410138246,0.2767950052029136,0.01688717110153115,0.5136612021857924,0.48451730418943534,-0.029143897996357027,0.34516523867809057,0.352317880794702,0.00715264211661143,549,False,False
3,customer_only,A,B,서비스이용,False,0.29182630906768836,0.30758620689655175,0.01575989782886339,0.41735159817351597,0.40730593607305937,-0.010045662100456598,0.34347989477639984,0.35049115913555995,0.007011264359160108,1095,False,False
3,all,C,D,환불요청,True,0.7687861271676301,0.7665422463522226,-0.002243880815407495,0.44149377593360994,0.4686721991701245,0.027178423236514537,0.5608856088560885,0.5816917728852838,0.02080616402919533,4820,False,True
3,all,C,D,주문취소,True,0.16427640156453716,0.17172413793103447,0.007447736366497315,0.4980237154150198,0.49209486166007904,-0.005928853754940733,0.24705882352941178,0.254601226993865,0.007542403464453229,506,False,False
3,all,C,D,불만제기,True,0.05511811023622047,0.053003533568904596,-0.002114576667315876,0.03357314148681055,0.03597122302158273,0.0023980815347721812,0.041728763040238454,0.04285714285714286,0.001128379816904404,417,False,True
3,all,C,D,배송확인,False,0.4060846560846561,0.41847826086956524,0.01239360478490914,0.6469968387776607,0.649104320337197,0.0021074815595363283,0.4989841527834214,0.5088806278397356,0.009896475056314247,949,False,False
3,all,C,D,교환반품,False,0.6139613120269134,0.6020569620253164,-0.011904350001596953,0.5521936459909228,0.575642965204236,0.02344931921331317,0.5814416567104739,0.588553750966744,0.0071120942562701295,1322,False,True
3,all,C,D,구매진행,False,0.25722543352601157,0.28601472134595163,0.028789287819940057,0.48633879781420764,0.49544626593806923,0.009107468123861595,0.33648393194706994,0.3626666666666667,0.026182734719596756,549,False,False
3,all,C,D,서비스이용,False,0.33162142333088773,0.3446940356312936,0.01307261230040585,0.41278538812785387,0.4063926940639269,-0.006392694063926951,0.3677786818551668,0.3730092204526404,0.005230538597473577,1095,False,False
5,customer_only,A,B,환불요청,True,0.7972367438386856,0.7983315197678637,0.00109477592917806,0.4429460580912863,0.4566390041493776,0.013692946058091293,0.5694851960522807,0.5809687211297347,0.011483525077454093,4820,False,False
5,customer_only,A,B,주문취소,True,0.1739915713425647,0.17636138613861385,0.002369814796049141,0.5711462450592886,0.5632411067193676,-0.007905138339921014,0.2667281956622058,0.26861451460885954,0.0018863189466537533,506,False,False
5,customer_only,A,B,불만제기,True,0.0821256038647343,0.07224334600760456,-0.009882257857129748,0.0407673860911271,0.045563549160671464,0.0047961630695443624,0.05448717948717949,0.05588235294117647,0.0013951734539969854,417,False,True
5,customer_only,A,B,배송확인,False,0.4311868686868687,0.4434270765206017,0.01224020783373303,0.7197049525816649,0.7144362486828241,-0.005268703898840821,0.5392814844058429,0.5472154963680388,0.007934011962195897,949,False,False
5,customer_only,A,B,교환반품,False,0.601312551271534,0.5845674201091192,-0.016745131162414828,0.5544629349470499,0.56732223903177,0.012859304084720136,0.5769382133018497,0.5758157389635317,-0.0011224743383180247,1322,False,True
5,customer_only,A,B,구매진행,False,0.3110195674562307,0.33076074972436603,0.019741182268135316,0.5500910746812386,0.546448087431694,-0.0036429872495445936,0.3973684210526316,0.41208791208791207,0.014719491035280474,549,False,False
5,customer_only,A,B,서비스이용,False,0.3609865470852018,0.37989255564082886,0.018906008555627074,0.4410958904109589,0.4520547945205479,0.010958904109588996,0.3970406905055487,0.41284403669724773,0.01580334619169904,1095,False,False
5,all,C,D,환불요청,True,0.8323814962878355,0.8287883047511948,-0.0035931915366407274,0.6047717842323651,0.6116182572614108,0.00684647302904573,0.7005527517423696,0.7038319207353467,0.0032791689929770884,4820,False,True
5,all,C,D,주문취소,True,0.22788605697151423,0.22929447852760737,0.0014084215560931368,0.6007905138339921,0.5909090909090909,-0.009881422924901129,0.33043478260869563,0.33038674033149174,-4.8042277203896866e-05,506,False,False
5,all,C,D,불만제기,True,0.1111111111111111,0.14084507042253522,0.029733959311424113,0.03836930455635491,0.047961630695443645,0.009592326139088732,0.0570409982174688,0.07155635062611806,0.014515352408649262,417,False,False
5,all,C,D,배송확인,False,0.5087131367292225,0.5053835800807537,-0.00332955664846879,0.7997892518440464,0.7913593256059009,-0.008429926238145424,0.6218762802130274,0.6168377823408624,-0.0050384978721650375,949,False,False
5,all,C,D,교환반품,False,0.6477675407512402,0.6458923512747875,-0.00187518947645271,0.6913767019667171,0.6898638426626323,-0.001512859304084735,0.6688620563483352,0.6671543525969276,-0.0017077037514076077,1322,False,False
5,all,C,D,구매진행,False,0.40828402366863903,0.4026442307692308,-0.005639792899408247,0.6284153005464481,0.6102003642987249,-0.01821493624772319,0.4949784791965567,0.4851556842867487,-0.009822794909807975,549,False,False
5,all,C,D,서비스이용,False,0.5505376344086022,0.5638528138528138,0.013315179444211678,0.46757990867579907,0.4757990867579909,0.008219178082191803,0.505679012345679,0.516097077761268,0.010418065415588984,1095,False,False
