n,version,cond1,cond2,n_total,both_correct,only_cond1_correct,only_cond2_correct,both_wrong,accuracy_cond1,accuracy_cond2,accuracy_diff(cond2-cond1),ci95_lo,ci95_hi,mcnemar_stat,p_value,exact_test,significant(p<0.05)
1,고객only,A,B,9658,0,0,396,9262,0.0,0.04100227790432802,0.04100227790432802,0.037067715883205635,0.04483329881963139,0.0,1.2392294127517818e-119,True,True
1,고객&상담사,C,D,9658,698,101,281,8578,0.08272934354938911,0.10136674259681093,0.018637399047421815,0.014702837026299445,0.022571961068544213,83.87696335078535,5.2654529022740085e-20,False,True
2,고객only,A,B,9658,2780,302,413,6163,0.3191136881341893,0.3306067508800994,0.01149306274591011,0.006108925243321572,0.016773659142679698,16.923076923076923,3.8925475018218666e-05,False,True
2,고객&상담사,C,D,9658,2902,303,409,6044,0.3318492441499275,0.3428246013667426,0.010975357216815085,0.005591219714226547,0.01646303582522257,15.484550561797754,8.318236751951733e-05,False,True
3,고객only,A,B,9658,3720,350,462,5126,0.4214123006833713,0.43300890453510044,0.011596603851729115,0.005795713398219086,0.017498446883412677,15.173645320197044,9.806255159004382e-05,False,True
3,고객&상담사,C,D,9658,4153,304,471,4730,0.4614827086353282,0.4787740733071029,0.017291364671774723,0.01170014495754812,0.023193207703458285,35.55612903225806,2.478061142446e-09,False,True
5,고객only,A,B,9658,4287,355,433,4583,0.4806378132118451,0.4887140194657279,0.008076206253882778,0.002381445433837226,0.013874508179747336,7.524111675126903,0.006087856739129291,False,True
5,고객&상담사,C,D,9658,5417,348,398,3495,0.5969144750465935,0.602091530337544,0.005177055290950583,-0.00041416442327602,0.010768275005177075,3.2184986595174263,0.07281038148400892,False,False
