n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
1,D,불만제기,0.019562715765247412,0.0407673860911271,0.026438569206842923,417,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
1,D,배송확인,0.07195301027900147,0.10326659641728135,0.08481176979662484,949,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
1,D,교환반품,0.2844574780058651,0.07337367624810892,0.11665664461815996,1322,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
1,D,구매진행,0.04835390946502058,0.08561020036429873,0.06180144641683103,549,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
1,D,서비스이용,0.06874573184611883,0.27579908675799086,0.11005830903790087,1095,False,9658,0.10136674259681093,0.08178920141100103,0.11229573943618033,0
2,A,환불요청,0.7075962539021852,0.2821576763485477,0.4034411153960249,4820,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,주문취소,0.1263089005235602,0.3814229249011858,0.18977384464110128,506,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,불만제기,0.052884615384615384,0.05275779376498801,0.05282112845138055,417,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,배송확인,0.27870813397129185,0.4910432033719705,0.35558946966806565,949,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,교환반품,0.530952380952381,0.3373676248108926,0.4125809435707678,1322,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,구매진행,0.15990639625585024,0.37340619307832423,0.2239213544511196,549,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,서비스이용,0.19519519519519518,0.3561643835616438,0.2521823472356935,1095,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,B,환불요청,0.6983901515151515,0.30601659751037347,0.4255626081938834,4820,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,주문취소,0.12743823146944083,0.38735177865612647,0.1917808219178082,506,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,불만제기,0.04753521126760563,0.06474820143884892,0.05482233502538071,417,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,배송확인,0.29960835509138384,0.48366701791359323,0.37001209189842804,949,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,교환반품,0.5341317365269461,0.3373676248108926,0.4135373203523412,1322,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,구매진행,0.17619926199261993,0.34790528233151186,0.23392529087568892,549,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,B,서비스이용,0.20060331825037708,0.3643835616438356,0.2587548638132296,1095,False,9658,0.3306067508800994,0.27834219029668,0.36039688904267503,0
2,C,환불요청,0.7109634551495017,0.3107883817427386,0.4325104662913238,4820,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
