n,condition,class,precision,recall,f1,support,low_support_flag,n_total,accuracy,macro_f1,weighted_f1,n_out_of_taxonomy_pred
2,A,환불요청,0.7075962539021852,0.2821576763485477,0.4034411153960249,4820,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,주문취소,0.1263089005235602,0.3814229249011858,0.18977384464110128,506,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,불만제기,0.052884615384615384,0.05275779376498801,0.05282112845138055,417,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,배송확인,0.27870813397129185,0.4910432033719705,0.35558946966806565,949,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,교환반품,0.530952380952381,0.3373676248108926,0.4125809435707678,1322,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,구매진행,0.15990639625585024,0.37340619307832423,0.2239213544511196,549,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,A,서비스이용,0.19519519519519518,0.3561643835616438,0.2521823472356935,1095,False,9658,0.3191136881341893,0.2700443147734505,0.34630327812111844,0
2,B,환불요청,0.6979802724283701,0.308298755186722,0.4276874370413009,4820,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,주문취소,0.12222222222222222,0.3695652173913043,0.18369351669941061,506,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,불만제기,0.04428044280442804,0.05755395683453238,0.05005213764337852,417,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,배송확인,0.28608082103912763,0.46996838777660693,0.35566188197767146,949,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,교환반품,0.5324519230769231,0.3350983358547655,0.4113277623026927,1322,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,구매진행,0.18056828597616864,0.3588342440801457,0.24024390243902438,549,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,B,서비스이용,0.20607594936708862,0.37168949771689497,0.26514657980456025,1095,False,9658,0.33029612756264237,0.27625903112971983,0.36019900004889716,0
2,C,환불요청,0.7109634551495017,0.3107883817427386,0.4325104662913238,4820,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,주문취소,0.1292466765140325,0.3458498023715415,0.1881720430107527,506,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,불만제기,0.0387409200968523,0.03836930455635491,0.03855421686746988,417,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,배송확인,0.28969539857420606,0.47102212855637515,0.35874799357945425,949,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,교환반품,0.5672853828306265,0.3698940998487141,0.4478021978021978,1322,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,구매진행,0.14648117839607203,0.32604735883424407,0.20214568040654998,549,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,C,서비스이용,0.18590635141400091,0.36621004566210047,0.24661746617466174,1095,False,9658,0.3318492441499275,0.27350715201891573,0.3633736865942446,0
2,D,환불요청,0.6989907854322072,0.3304979253112033,0.4487956050147908,4820,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,주문취소,0.1261061946902655,0.33794466403162055,0.1836734693877551,506,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,불만제기,0.043478260869565216,0.05275779376498801,0.047670639219934995,417,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,배송확인,0.306826178747361,0.4594309799789252,0.3679324894514768,949,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,교환반품,0.558589306029579,0.3714069591527988,0.4461608359836438,1322,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,구매진행,0.16540642722117202,0.31876138433515483,0.2177971375233354,549,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
2,D,서비스이용,0.18666049096804077,0.3680365296803653,0.24769514443761526,1095,False,9658,0.3407537792503624,0.27996076014550747,0.3733486868456758,0
3,A,환불요청,0.7646321070234113,0.37946058091286305,0.507210205213533,4820,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,주문취소,0.14958283671036948,0.49604743083003955,0.22985347985347984,506,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,불만제기,0.08712121212121213,0.05515587529976019,0.06754772393538913,417,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,배송확인,0.37753807106598986,0.6269757639620653,0.47128712871287126,949,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,교환반품,0.577028258887876,0.47881996974281393,0.5233567589913187,1322,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,구매진행,0.25990783410138246,0.5136612021857924,0.34516523867809057,549,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,A,서비스이용,0.29182630906768836,0.41735159817351597,0.34347989477639984,1095,False,9658,0.4214123006833713,0.35541434716586895,0.4446015502345843,0
3,B,환불요청,0.7521788556271315,0.4118257261410788,0.5322429280064351,4820,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,주문취소,0.15418781725888325,0.48023715415019763,0.2334293948126801,506,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,불만제기,0.07225433526011561,0.05995203836930456,0.0655307994757536,417,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,배송확인,0.3890717577353522,0.6227608008429927,0.47893030794165314,949,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,교환반품,0.5578406169665809,0.4924357034795764,0.5231016472478908,1322,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,구매진행,0.2767950052029136,0.48451730418943534,0.352317880794702,549,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,B,서비스이용,0.30758620689655175,0.40730593607305937,0.35049115913555995,1095,False,9658,0.43559743218057567,0.36229201677352496,0.45911245660133493,0
3,C,환불요청,0.7687861271676301,0.44149377593360994,0.5608856088560885,4820,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,주문취소,0.16427640156453716,0.4980237154150198,0.24705882352941178,506,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,불만제기,0.05511811023622047,0.03357314148681055,0.041728763040238454,417,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,배송확인,0.4060846560846561,0.6469968387776607,0.4989841527834214,949,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,교환반품,0.6139613120269134,0.5521936459909228,0.5814416567104739,1322,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,구매진행,0.25722543352601157,0.48633879781420764,0.33648393194706994,549,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,C,서비스이용,0.33162142333088773,0.41278538812785387,0.3677786818551668,1095,False,9658,0.4614827086353282,0.3763373741031244,0.4841095941202185,0
3,D,환불요청,0.7665422463522226,0.4686721991701245,0.5816917728852838,4820,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
3,D,주문취소,0.17172413793103447,0.49209486166007904,0.254601226993865,506,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
3,D,불만제기,0.053003533568904596,0.03597122302158273,0.04285714285714286,417,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
3,D,배송확인,0.41847826086956524,0.649104320337197,0.5088806278397356,949,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
3,D,교환반품,0.6020569620253164,0.575642965204236,0.588553750966744,1322,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
3,D,구매진행,0.28601472134595163,0.49544626593806923,0.3626666666666667,549,False,9658,0.47804928556636983,0.38746577266601123,0.4989644714983411,0
