section,n,condition,pair,metric,v_base,v3_orig,delta,class
7way_전체_참고,5,A,,macro_f1,0.40018991149536276,0.40018991149536276,0.0,
7way_전체_참고,5,B,,accuracy,0.48954234831228,0.5026920687512942,0.013149720439014245,
7way_전체_참고,5,B,,macro_f1,0.4076326818280716,0.41886821956461145,0.011235537736539847,
7way_전체_참고,5,C,,accuracy,0.5969144750465935,0.5969144750465935,0.0,
7way_전체_참고,5,C,,macro_f1,0.4827749086674475,0.4827749086674475,0.0,
7way_전체_참고,5,D,,accuracy,0.5990888382687927,0.5943259474011182,-0.004762890867674452,
7way_전체_참고,5,D,,macro_f1,0.48443141552553765,0.4742545044769502,-0.010176911048587423,
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,0.026141078838174292,0.011618257261410803,-0.01452282157676349,환불요청
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,-0.009615981473815038,0.015221510263205285,0.024837491737020323,환불요청
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,0.024246321645276014,0.014319616275313085,-0.00992670536996293,환불요청
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,-0.011857707509881465,-0.08300395256916998,-0.07114624505928852,주문취소
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,-0.004086678301337979,5.093211242307438e-05,0.004137610413761053,주문취소
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,-0.006080327941690666,-0.01223122265403484,-0.006150894712344174,주문취소
음향델타_불만제기,2,,customer_only,acoustic_delta_recall,0.004796163069544369,0.014388489208633094,0.009592326139088725,불만제기
음향델타_불만제기,2,,customer_only,acoustic_delta_precision,-0.008604172580187343,0.028040240106714097,0.03664441268690144,불만제기
음향델타_불만제기,2,,customer_only,acoustic_delta_f1,-0.0027689908080020323,0.020573366961463488,0.02334235776946552,불만제기
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,-0.02107481559536356,-0.05584826132771337,-0.034773445732349806,배송확인
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,0.007372687067835781,0.04648871642240893,0.039116029354573145,배송확인
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,7.241230960580713e-05,0.016650277966003768,0.01657786565639796,배송확인
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,-0.0022692889561271024,-0.06656580937972773,-0.06429652042360062,교환반품
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,0.0014995421245421747,0.05883345100808035,0.057333908883538176,교환반품
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,-0.0012531812680751098,-0.04140416803940439,-0.04015098677132928,교환반품
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,-0.014571948998178541,0.018214936247723135,0.032786885245901676,구매진행
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,0.020661889720318405,0.01292318573771889,-0.007738703982599515,구매진행
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,0.01632254798790478,0.015900173713966848,-0.00042237427393793103,구매진행
음향델타_기타클래스,2,,customer_only,acoustic_delta_recall,0.015525114155251152,0.2246575342465753,0.20913242009132416,서비스이용
음향델타_기타클래스,2,,customer_only,acoustic_delta_precision,0.010880754171893436,0.01422199281929279,0.0033412386473993527,서비스이용
음향델타_기타클래스,2,,customer_only,acoustic_delta_f1,0.012964232568866751,0.05565889187369666,0.04269465930482991,서비스이용
음향델타_기타클래스,2,,all,acoustic_delta_recall,0.019709543568464716,0.01887966804979252,-0.0008298755186721962,환불요청
음향델타_기타클래스,2,,all,acoustic_delta_precision,-0.011972669717294493,0.024344272754246554,0.03631694247154105,환불요청
음향델타_기타클래스,2,,all,acoustic_delta_f1,0.01628513872346704,0.022725173301857693,0.006440034578390652,환불요청
음향델타_기타클래스,2,,all,acoustic_delta_recall,-0.007905138339920958,-0.06719367588932806,-0.059288537549407105,주문취소
음향델타_기타클래스,2,,all,acoustic_delta_precision,-0.0031404818237669996,0.0011881060946631605,0.00432858791843016,주문취소
음향델타_기타클래스,2,,all,acoustic_delta_f1,-0.004498573622997576,-0.010478281196007883,-0.005979707573010307,주문취소
