gender,metric,n,mean,std
남,f0_mean,51460,136.27247316046888,26.562839599016645
남,f0_std,51460,40.3596800594521,22.47481979976405
남,e_mean_db,51462,-24.710404445147393,6.806912316091098
남,e_std_db,51462,28.488031982268286,4.72443213116888
남,r_gold,51462,4.310997244399523,1.3536645493273913
남,s_top_db30,51462,0.2626709034742432,0.10654873717568884
여,f0_mean,83875,225.0359524332433,30.54896256592174
여,f0_std,83875,51.458286580910126,17.125650580599363
여,e_mean_db,83878,-23.066236425564323,6.638509494731839
여,e_std_db,83878,28.144454828281113,4.859047760219927
여,r_gold,83878,4.134719519481947,1.3216771561665392
여,s_top_db30,83878,0.24030095642887517,0.10137347295248705
ALL,f0_mean,135335,191.28438304338138,51.99436150030076
ALL,f0_std,135335,47.238134428146765,20.071434158939766
ALL,e_mean_db,135340,-23.691418741389533,6.750394266071773
ALL,e_std_db,135340,28.275097413610563,4.811197154219963
ALL,r_gold,135340,4.201747776314429,1.3366725047841679
ALL,s_top_db30,135340,0.24880695772079717,0.10394069677287562
