trigger,mismatch_precision,mismatch_recall,trigger_rate_full,n_triggered_full,pct_triggered_in_jeongbochungbun,pct_triggered_in_jeongbobuzok,pct_triggered_in_NA,NA_exclusion_rate,jeongbochungbun_coverage,sample_n,rescue,harm,net,net_jeongbochungbun_layer,harm_NA_layer,complaint_recall,complaint_precision,complaint_f1,macro_f1
1.shift,0.8103023516237402,0.48466175485599466,0.2284121137712298,4465,0.1896976483762598,0.6206047032474804,0.1896976483762598,0.9299015145245386,0.1804431188751598,1973,65,54,11,17,24,0.244,0.21107266435986158,0.22634508348794063,0.4789566019148846
2.trajectory(N궤적),0.5793533749290981,0.684125920964501,0.4509412727644772,8815,0.26500283607487235,0.31435053885422576,0.4206466250709019,0.6931225688984524,0.4976565828717512,1973,97,112,-15,38,74,0.328,0.20297029702970298,0.25076452599388377,0.4734930323855216
3.text_entropy,0.5204135737009544,0.5259209645010047,0.38592183343564557,7544,0.31203605514316013,0.20837751855779427,0.4795864262990456,0.7005710502358686,0.5014912654452492,1973,82,109,-27,36,84,0.304,0.1953727506426735,0.2378716744913928,0.46554751709192266
4.combo(2&3),0.6567726737338044,0.373476222371065,0.21715776550030694,4245,0.28645465253239105,0.37031802120141344,0.3432273262661955,0.8794173632376066,0.2590541116318705,1973,58,60,-2,25,40,0.236,0.22519083969465647,0.23046875,0.4701224219501948
5.shift&~short,0.7883913764510779,0.3184192900200938,0.15423572744014732,3015,0.2809286898839138,0.5074626865671642,0.21160862354892207,0.9471985434080941,0.1804431188751598,1973,49,38,11,17,17,0.2,0.25252525252525254,0.22321428571428573,0.4712012484273043
6.trajectory&~short,0.563967417345472,0.47300736771600804,0.32028852056476365,6261,0.319597508385242,0.24436990896023,0.43603258265452804,0.7740627327650418,0.42628887942053684,1973,70,78,-8,30,50,0.252,0.2290909090909091,0.24,0.46858278064420494
