layer,variant,n,n_gold_complaint,recall,precision,f1,n_pred_complaint
정보부족,base,302,23,0.043478260869565216,0.05,0.046511627906976744,20
정보부족,gate,302,23,0.4782608695652174,0.07236842105263158,0.12571428571428572,152
정보충분,base,609,196,0.025510204081632654,0.2777777777777778,0.04672897196261682,18
정보충분,gate,609,196,0.3979591836734694,0.312,0.34977578475336324,250
