group,call_id,rank_in_corpus,pct_in_corpus,P1_core,P4_gain_robust,gender,n_utt,f0_mean_mean,e_mean_amp_mean,r_gold_mean,s_top_db30_mean
고각성후보,J19_S013156,1,0.010058338362502514,4.425853696640622,1.0299212156328046,여(추정),7,237.31430409039694,0.22686090480004037,4.488035872098477,0.271383748161354
고각성후보,J18_S022322,2,0.020116676725005028,3.6712048997753093,1.014026670872945,여(추정),9,237.4308336153499,0.16828211681503388,5.065206829884056,0.2160555662125055
고각성후보,J19_S013162,3,0.030175015087507546,3.4251197474649295,0.6384678795001251,여(추정),6,260.0349976678935,0.20257115457206964,4.297529735242257,0.2474470154029814
고각성후보,J19_S032555,4,0.040233353450010056,3.152517158150742,0.9541604345465334,여(추정),6,290.3588099148473,0.17987243831157684,4.420124686458869,0.28542610459704787
고각성후보,J18_S014059,5,0.05029169181251257,3.084478732630521,-0.13239038938230333,남(추정),7,130.13118786833735,0.1705638745001384,3.9672320896441753,0.24575729959454037
고각성후보,J16_S000601,6,0.06035003017501509,2.781729805612278,0.6223670309945362,남(추정),8,168.26305464611394,0.14416240877471864,4.808171456698652,0.2630367566882322
고각성후보,J18_S012872,7,0.0704083685375176,2.7611349425810308,0.6009646463188989,여(추정),7,269.8404394599153,0.1697507096188409,4.18276982141657,0.19229665047852587
고각성후보,J17_S001808,8,0.08046670690002011,2.7403519839173343,0.22258756567741966,남(추정),7,159.847913934655,0.16659821357045854,4.41331547715624,0.23336359635309004
고각성후보,J18_S008811,9,0.09052504526252263,2.6778327679906275,0.17524993865450772,여(추정),7,224.9436853201844,0.20118361924375808,4.334006244013481,0.29333053754937477
고각성후보,J19_S024196,10,0.10058338362502514,2.6734977041094474,-0.3069098842020182,여(추정),7,223.7769311127781,0.19631793509636605,4.567947683903231,0.13657108401241932
고각성후보,J19_S036472,11,0.11064172198752766,2.6239537246226488,0.36282676772242106,여(추정),7,258.3065318376144,0.1639049377824579,4.465940243442755,0.16923128269803953
고각성후보,J18_S018833,12,0.12070006035003018,2.61786508487358,0.5865029281424677,남(추정),8,169.24873956286774,0.12751961476169527,4.6714558137602635,0.2153335981358473
고각성후보,J19_S004367,13,0.1307583987125327,2.59904089177576,0.33382823139674267,여(추정),7,299.57960223200286,0.20045974850654602,5.220762086805671,0.14111922302118315
고각성후보,J18_S005335,14,0.1408167370750352,2.573763917033317,-0.11420485840891217,남(추정),7,166.36719814465337,0.15253692812153272,4.212533735069702,0.19790781508856087
고각성후보,J19_S022086,15,0.15087507543753773,2.487335543759914,0.419663657796167,여(추정),6,248.34950484710308,0.17859689829250178,4.750895056257116,0.17819017328868791
고각성후보,J16_S005751,16,0.16093341380004023,2.4400499364953268,1.292037293646419,여(추정),7,305.17594809016094,0.13635826483368874,5.633553218398197,0.16653152783337566
고각성후보,J18_S004706,17,0.17099175216254275,2.3394098900423894,0.2922209392815448,여(추정),8,250.10354361262034,0.14418719697277993,3.7761466536366197,0.22098496052861305
고각성후보,J19_S030561,18,0.18105009052504525,2.3330702217842725,0.9699069052314984,여(추정),7,273.13862729499255,0.12992296846849577,3.4544547868929945,0.24707929830591674
고각성후보,J19_S000567,19,0.19110842888754778,2.326785315011001,0.6798688308194795,여(추정),6,250.62488532044117,0.1729629331578811,4.092455419253604,0.26053427921585054
고각성후보,J18_S010030,20,0.20116676725005028,2.293382967498094,-0.23856831247626567,여(추정),5,206.57253974739268,0.21845936477184297,4.046909292756821,0.2894041695756034
고각성후보,J17_S006712,21,0.2112251056125528,2.2864046930402133,-0.23098051360984118,여(추정),8,184.62241885088267,0.1862335903570056,3.6151103789745656,0.2085434447364709
고각성후보,J18_S009497,22,0.2212834439750553,2.2755240126233267,0.7952155110890542,남(추정),3,171.9370309474201,0.10810703846315543,3.51205624948136,0.31570565978090587
고각성후보,J18_S017712,23,0.23134178233755787,2.2571099667890944,0.21887701928860331,여(추정),6,261.1879986171595,0.16906014705697694,4.046929110323595,0.17099156722305006
고각성후보,J18_S003578,24,0.24140012070006037,2.2434941336194494,0.1756169548525682,남(추정),5,171.24362930969716,0.1705684021115303,3.617823051186975,0.32289333047094904
고각성후보,J19_S037838,25,0.25145845906256287,2.1860194608374943,-0.4579179447523324,남(추정),6,142.7249077193202,0.17537512195607027,4.249294443593222,0.20024021773443723
저각성후보,J17_S003499,9918,99.75859987929994,-1.8719784294205557,-0.4866292298697341,여(추정),5,205.49893135215748,0.01595905516296625,4.1393193336892455,0.32485465367320965
저각성후보,J17_S001302,9919,99.76865821766245,-1.8752615046989105,-0.1427582582084551,여(추정),9,203.4256644683974,0.011495359966324436,3.671781851820452,0.3297812900190309
저각성후보,J19_S002767,9920,99.77871655602495,-1.8787035075629648,1.262071469462898,여(추정),2,185.70277772246104,0.03186940308660269,10.81467804951286,0.22983037882624263
저각성후보,J19_S023809,9921,99.78877489438744,-1.8861418199455198,-1.0080834683199746,남(추정),7,104.15924811536671,0.03428247384727001,3.8790503416229014,0.2870942279396151
저각성후보,J17_S006043,9922,99.79883323274996,-1.8920411568659297,-0.5239553020660443,여(추정),4,201.93939761276448,0.015537780011072755,3.950424004789231,0.287006039930079
저각성후보,J19_S027001,9923,99.80889157111245,-1.8927473771797445,-0.5698591417393739,여(추정),5,189.48420278597726,0.02493201419711113,4.34456203028183,0.2317029277676821
저각성후보,J17_S005319,9924,99.81894990947495,-1.8965919663246498,-0.37512787749423193,남(추정),2,100.24464425694543,0.046027034521102905,4.532992161144776,0.36181409069923254
저각성후보,J19_S028925,9925,99.82900824783746,-1.9340098681209008,-0.5956204656823498,여(추정),7,179.82928966898777,0.03434383576469762,3.8651662154588116,0.35904273017482363
저각성후보,J19_S008590,9926,99.83906658619996,-1.9460444277768705,2.2706882097005656,남(추정),3,125.65413692165752,0.013863399003942808,12.660242694040841,0.3950042310850616
저각성후보,J18_S000269,9927,99.84912492456246,-1.9643639466783334,-0.5972809802259289,남(추정),6,108.40762186232128,0.025948657499005396,4.244428061552696,0.30276873015550987
저각성후보,J17_S001616,9928,99.85918326292497,-1.9657488140402144,-1.0414863205432814,여(추정),8,180.0563837277106,0.030683309771120548,3.5793064656709506,0.2383768371360226
저각성후보,J19_S022485,9929,99.86924160128747,-1.9672462061618579,-1.1977332598906707,여(추정),4,196.2394838767168,0.01848609047010541,3.249320509376133,0.24806985782073424
저각성후보,J18_S016672,9930,99.87929993964997,-1.9682069545439351,-0.5782858593921448,여(추정),5,187.45454253778183,0.018926325254142284,4.075999867191913,0.2522567524781506
저각성후보,J18_S001129,9931,99.88935827801248,-1.9765212559216574,-0.4579223655517365,남(추정),6,111.03509748536312,0.019381161779165268,4.744066143387908,0.29800099713445566
저각성후보,J16_S004761,9932,99.89941661637496,-1.9894356241336695,-0.2556898673738667,남(추정),8,99.24740233371205,0.025287979166023433,4.263984001173676,0.33963054554574773
저각성후보,J19_S020661,9933,99.90947495473748,-2.003192974991341,-1.119594981255291,남(추정),6,103.88235974378193,0.02479806092257301,3.611427816839962,0.2750203125848785
저각성후보,J19_S022551,9934,99.91953329309999,-2.0166927037200364,-0.869937070958884,남(추정),5,93.30419125438797,0.03257133737206459,4.1907957615084,0.2930303916158489
저각성후보,J19_S018213,9935,99.92959163146247,-2.027954824337186,-0.4330748276476961,남(추정),8,123.5847154081307,0.012790414039045572,5.069929084782312,0.2798603485267863
저각성후보,J18_S019735,9936,99.93964996982498,-2.0421989429066696,-0.43111931282391014,남(추정),5,105.15538712022867,0.02357070129364729,4.750243301404085,0.3032596229156083
저각성후보,J18_S005139,9937,99.9497083081875,-2.0472962515237976,-0.8073811526685235,여(추정),2,178.9162224850449,0.034894054755568504,3.035111589598621,0.3242353189831113
저각성후보,J18_S011850,9938,99.95976664654998,-2.07500138524391,-0.725914253963289,여(추정),5,189.66583774788623,0.016334998421370983,4.38249483816896,0.2626086623154757
저각성후보,J19_S025498,9939,99.96982498491249,-2.1226897198738173,-1.2293173775095378,여(추정),3,189.75641660305988,0.015091981117924055,3.259475596397874,0.21771274555223888
저각성후보,J17_S006670,9940,99.979883323275,-2.162914447656664,-0.9495423048635782,여(추정),10,188.54664379553446,0.01185029922053218,3.284040118885914,0.31064231184006597
저각성후보,J19_S033296,9941,99.98994166163749,-2.171488319485143,-0.9537783455702741,남(추정),5,97.2571465242951,0.02492031380534172,3.90281252899221,0.33340769394588393
저각성후보,J19_S016832,9942,100.0,-2.1914842607360483,-0.8323874647856977,여(추정),3,188.18009352994375,0.010908408711353937,5.7392624142834485,0.17459645010497007
